activity_id,name,type,start_time_local,start_time_gmt,distance_m,duration_s,average_speed_mps,max_speed_mps,average_hr,max_hr,average_cadence_spm,steps,calories,elevation_gain_m,elevation_loss_m,training_load,training_effect,vo2_max,device_name
19916710919,Padel,paddelball,2025-08-01 12:56:05,2025-08-01 11:56:05,425.7799987792969,8062.7900390625,0.05299999937415123,3.069999933242798,147.0,193.0,15.734375,6762,1121.0,,,,5.0,,3606868094
19922744566,Coimbra Running,running,2025-08-02 07:51:37,2025-08-02 06:51:37,5999.89990234375,1938.0,3.0959235822207174,3.499000072479248,165.22239422084624,174.0,173.5232198142415,4664,417.0,21.600004196166992,20.400005340576172,,3.9000000953674316,45.0,3606868094
19932651543,HIIT - Tabata,hiit,2025-08-03 07:55:30,2025-08-03 06:55:30,,255.2899932861328,,,124.0,151.0,,162,39.0,,,,0.699999988079071,,3606868094
19932857700,Strength,strength_training,2025-08-03 08:00:39,2025-08-03 07:00:39,,1810.0050048828125,,,118.0,145.0,,408,223.0,,,,1.2000000476837158,,3606868094
19932922026,HIIT - Tabata,hiit,2025-08-03 08:35:15,2025-08-03 07:35:15,,264.3580017089844,,,152.0,161.0,,152,55.0,,,,1.2999999523162842,,3606868094
19933039519,Treadmill Walk,treadmill_running,2025-08-03 08:40:56,2025-08-03 07:40:56,1238.1700439453125,813.0150146484375,1.5230000019073486,1.7359999418258667,126.0,137.0,120.125,1620,127.0,,,,1.2000000476837158,,3606868094
19943800749,Coimbra Running,running,2025-08-04 07:33:52,2025-08-04 06:33:52,6388.72998046875,2272.219970703125,2.812000036239624,4.171000003814697,159.0,179.0,164.65625,6230,479.0,13.0,10.0,,3.799999952316284,46.0,3606868094
19954895291,Base,treadmill_running,2025-08-05 06:43:06,2025-08-05 05:43:06,5265.10986328125,2069.509033203125,2.5439999103546143,2.9019999504089355,144.0,156.0,167.21875,5774,404.0,,,,3.0,,3606868094
19960595256,Strength,strength_training,2025-08-05 16:07:22,2025-08-05 15:07:22,,3034.69091796875,,,120.0,151.0,,8,371.0,,,,1.899999976158142,,3606868094
19966313015,Base,treadmill_running,2025-08-06 06:52:11,2025-08-06 05:52:11,3971.739990234375,1473.0770263671875,2.696000099182129,2.9019999504089355,149.0,159.0,172.765625,4226,302.0,,,,3.0,,3606868094
19977312548,Coimbra Running,running,2025-08-07 06:31:19,2025-08-07 05:31:19,3555.1201171875,1164.5,3.052999973297119,3.6760001182556157,167.0,181.0,171.21875,3310,268.0,46.0,53.0,,3.200000047683716,46.0,3606868094
19982796557,Strength,strength_training,2025-08-07 16:04:07,2025-08-07 15:04:07,,3660.343017578125,,,118.0,176.0,,8,424.0,,,,2.0,,3606868094
